URL,Locale,Locale Name,Original Title,Optimized Title,HTML Lang,Status,Error
https://www.aiseoturbo.com,en,English,"AI SEO Audit Tool - Boost Rankings 300% Faster","AI SEO Audit Tool - Boost Rankings 300% Faster | AI SEO Turbo",en,OK,
https://www.aiseoturbo.com/fr,fr,Français,"AI SEO Audit Tool - Boost Rankings 300% Faster","Outil d'Audit SEO IA - Améliorez vos Classements 300% Plus Rapidement | AI SEO Turbo - France",en,OK,
https://www.aiseoturbo.com/de,de,Deutsch,"AI SEO Audit Tool - Boost Rankings 300% Faster","KI-SEO-Audit-Tool - Rankings um 300% Schneller Steigern | AI SEO Turbo - Deutschland",en,OK,
https://www.aiseoturbo.com/es,es,Español,"AI SEO Audit Tool - Boost Rankings 300% Faster","Herramienta de Auditoría SEO IA - Mejora Rankings 300% Más Rápido | AI SEO Turbo - España",en,OK,
https://www.aiseoturbo.com/it,it,Italiano,"AI SEO Audit Tool - Boost Rankings 300% Faster","Strumento di Audit SEO IA - Migliora i Ranking 300% Più Velocemente | AI SEO Turbo - Italia",en,OK,
https://www.aiseoturbo.com/id,id,Bahasa Indonesia,"AI SEO Audit Tool - Boost Rankings 300% Faster","Alat Audit SEO AI - Tingkatkan Ranking 300% Lebih Cepat | AI SEO Turbo - Indonesia",en,OK,
https://www.aiseoturbo.com/fr/pricing,fr,Français,"SEO Audit Pricing - Plans From $29/month | AI SEO Turbo","Tarifs SEO Audit - Plans Dès 29$/mois | AI SEO Turbo - France",en,OK,
https://www.aiseoturbo.com/de/pricing,de,Deutsch,"SEO Audit Pricing - Plans From $29/month | AI SEO Turbo","SEO Audit Preise - Pläne Ab 29$/Monat | AI SEO Turbo - Deutschland",en,OK,
https://www.aiseoturbo.com/es/pricing,es,Español,"SEO Audit Pricing - Plans From $29/month | AI SEO Turbo","Precios Auditoría SEO - Planes Desde 29$/mes | AI SEO Turbo - España",en,OK,
https://www.aiseoturbo.com/it/pricing,it,Italiano,"SEO Audit Pricing - Plans From $29/month | AI SEO Turbo","Prezzi Audit SEO - Piani Da 29$/mese | AI SEO Turbo - Italia",en,OK,
https://www.aiseoturbo.com/id/pricing,id,Bahasa Indonesia,"SEO Audit Pricing - Plans From $29/month | AI SEO Turbo","Harga Audit SEO - Paket Dari $29/bulan | AI SEO Turbo - Indonesia",en,OK,
https://www.aiseoturbo.com/fr/features,fr,Français,"SEO Features - Complete Audit & Analysis | AI SEO Turbo","Fonctionnalités SEO - Audit Complet & Analyse | AI SEO Turbo - France",en,OK,
https://www.aiseoturbo.com/de/features,de,Deutsch,"SEO Features - Complete Audit & Analysis | AI SEO Turbo","SEO Funktionen - Vollständige Audit & Analyse | AI SEO Turbo - Deutschland",en,OK,
https://www.aiseoturbo.com/es/features,es,Español,"SEO Features - Complete Audit & Analysis | AI SEO Turbo","Características SEO - Auditoría Completa & Análisis | AI SEO Turbo - España",en,OK,
https://www.aiseoturbo.com/it/features,it,Italiano,"SEO Features - Complete Audit & Analysis | AI SEO Turbo","Funzionalità SEO - Audit Completo & Analisi | AI SEO Turbo - Italia",en,OK,
https://www.aiseoturbo.com/id/features,id,Bahasa Indonesia,"SEO Features - Complete Audit & Analysis | AI SEO Turbo","Fitur SEO - Audit Lengkap & Analisis | AI SEO Turbo - Indonesia",en,OK,
https://www.aiseoturbo.com/fr/features/seo-audit,fr,Français,"SEO Audit Feature - Comprehensive Analysis | AI SEO Turbo","Outil d'Audit SEO - Analyse Complète du Site | AI SEO Turbo - France",en,OK,
https://www.aiseoturbo.com/de/features/seo-audit,de,Deutsch,"SEO Audit Feature - Comprehensive Analysis | AI SEO Turbo","SEO Audit Tool - Umfassende Website-Analyse | AI SEO Turbo - Deutschland",en,OK,
https://www.aiseoturbo.com/es/features/seo-audit,es,Español,"SEO Audit Feature - Comprehensive Analysis | AI SEO Turbo","Herramienta de Auditoría SEO - Análisis Completo del Sitio | AI SEO Turbo - España",en,OK,
https://www.aiseoturbo.com/it/features/seo-audit,it,Italiano,"SEO Audit Feature - Comprehensive Analysis | AI SEO Turbo","Strumento Audit SEO - Analisi Completa del Sito | AI SEO Turbo - Italia",en,OK,
https://www.aiseoturbo.com/id/features/seo-audit,id,Bahasa Indonesia,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/fr/features/site-crawler,fr,Français,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/de/features/site-crawler,de,Deutsch,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/es/features/site-crawler,es,Español,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/it/features/site-crawler,it,Italiano,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/id/features/site-crawler,id,Bahasa Indonesia,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/fr/features/keyword-tracking,fr,Français,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/de/features/keyword-tracking,de,Deutsch,"Keyword Tracking - Monitor Rankings | AI SEO Turbo","Keyword Tracking - Rankings überwachen | AI SEO Turbo - Deutschland",en,OK,
https://www.aiseoturbo.com/es/features/keyword-tracking,es,Español,"Keyword Tracking - Monitor Rankings | AI SEO Turbo","Seguimiento de Palabras Clave - Monitorea Rankings | AI SEO Turbo - España",en,OK,
https://www.aiseoturbo.com/it/features/keyword-tracking,it,Italiano,"ERROR","ERROR",,ERROR,"""Navigation timeout of 30000 ms exceeded"""
https://www.aiseoturbo.com/id/features/keyword-tracking,id,Bahasa Indonesia,"Keyword Tracking - Monitor Rankings | AI SEO Turbo","Pelacakan Kata Kunci - Pantau Ranking Pencarian | AI SEO Turbo - Indonesia",en,OK,
