url,lang
http://localhost:3000/en/,en
http://localhost:3000/de/,de
http://localhost:3000/fr/,fr
http://localhost:3000/it/,it
http://localhost:3000/es/,es
http://localhost:3000/id/,id
http://localhost:3000/en/features,en
http://localhost:3000/de/features,de
http://localhost:3000/fr/features,fr
http://localhost:3000/it/features,it
http://localhost:3000/es/features,es
http://localhost:3000/id/features,id
http://localhost:3000/en/features/seo-audit,en
http://localhost:3000/de/features/seo-audit,de
http://localhost:3000/fr/features/seo-audit,fr
http://localhost:3000/it/features/seo-audit,it
http://localhost:3000/es/features/seo-audit,es
http://localhost:3000/id/features/seo-audit,id
http://localhost:3000/en/features/site-crawler,en
http://localhost:3000/de/features/site-crawler,de
http://localhost:3000/fr/features/site-crawler,fr
http://localhost:3000/it/features/site-crawler,it
http://localhost:3000/es/features/site-crawler,es
http://localhost:3000/id/features/site-crawler,id
http://localhost:3000/en/features/keyword-tracking,en
http://localhost:3000/de/features/keyword-tracking,de
http://localhost:3000/fr/features/keyword-tracking,fr
http://localhost:3000/it/features/keyword-tracking,it
http://localhost:3000/es/features/keyword-tracking,es
http://localhost:3000/id/features/keyword-tracking,id
http://localhost:3000/en/features/competitor-analysis,en
http://localhost:3000/de/features/competitor-analysis,de
http://localhost:3000/fr/features/competitor-analysis,fr
http://localhost:3000/it/features/competitor-analysis,it
http://localhost:3000/es/features/competitor-analysis,es
http://localhost:3000/id/features/competitor-analysis,id
http://localhost:3000/en/features/ai-assistant,en
http://localhost:3000/de/features/ai-assistant,de
http://localhost:3000/fr/features/ai-assistant,fr
http://localhost:3000/it/features/ai-assistant,it
http://localhost:3000/es/features/ai-assistant,es
http://localhost:3000/id/features/ai-assistant,id
http://localhost:3000/en/pricing,en
http://localhost:3000/de/pricing,de
http://localhost:3000/fr/pricing,fr
http://localhost:3000/it/pricing,it
http://localhost:3000/es/pricing,es
http://localhost:3000/id/pricing,id
http://localhost:3000/en/demo,en
http://localhost:3000/de/demo,de
http://localhost:3000/fr/demo,fr
http://localhost:3000/it/demo,it
http://localhost:3000/es/demo,es
http://localhost:3000/id/demo,id
http://localhost:3000/en/about,en
http://localhost:3000/de/about,de
http://localhost:3000/fr/about,fr
http://localhost:3000/it/about,it
http://localhost:3000/es/about,es
http://localhost:3000/id/about,id
http://localhost:3000/en/blog,en
http://localhost:3000/de/blog,de
http://localhost:3000/fr/blog,fr
http://localhost:3000/it/blog,it
http://localhost:3000/es/blog,es
http://localhost:3000/id/blog,id
http://localhost:3000/en/blog/ai-powered-seo-future,en
http://localhost:3000/de/blog/ai-powered-seo-future,de
http://localhost:3000/fr/blog/ai-powered-seo-future,fr
http://localhost:3000/it/blog/ai-powered-seo-future,it
http://localhost:3000/es/blog/ai-powered-seo-future,es
http://localhost:3000/id/blog/ai-powered-seo-future,id
