"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.aiseoturbo.com/","text/html; charset=utf-8","200","OK","Indexable","","AI SEO Audit Tool - Boost Rankings 300% Faster","46","423","Transform your SEO with AI-powered audits identifying 47+ critical issues. Get data-driven insights to boost organic traffic and dominate rankings.","147","920","AI SEO audit, SEO optimization tool, website ranking boost, organic traffic growth, technical SEO analysis","106","AI SEO Turbo - Professional SEO Audits & Analysis Tool","54","Professional SEO Audits Made Simple","35","Trusted by businesses worldwide","31","index,follow","","","","https://www.aiseoturbo.com/","","","","","","118275","20664","20664","8.052","","339","77","4.403","44.147","Hard","2.523","0","0","","126","58","0","98.310","20","17","0","3","3","0","","","","","a722c1765a6a2325dc90900818f655e3","0.390","","","","","en","1.1","","","","","","https://www.aiseoturbo.com/","2025-10-20 11:48:09"
"https://www.aiseoturbo.com/_next/static/chunks/app/layout-8891d11eaab8d367.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","882","882","882","0.344","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.266","Mon, 20 Oct 2025 07:27:44 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/app/layout-8891d11eaab8d367.js","2025-10-20 11:48:11"
"https://www.aiseoturbo.com/_next/static/chunks/vendors-66225fcd-0bd2c9ea3ecc36e2.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.267","Mon, 20 Oct 2025 07:27:45 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/vendors-66225fcd-0bd2c9ea3ecc36e2.js","2025-10-20 11:48:11"
"https://www.aiseoturbo.com/_next/static/chunks/vendors-dfa252dc-92a6ee43e234a523.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.283","Mon, 20 Oct 2025 07:27:44 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/vendors-dfa252dc-92a6ee43e234a523.js","2025-10-20 11:48:11"
"https://www.aiseoturbo.com/images/hero/desktop-mockup.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.375","Mon, 20 Oct 2025 07:27:44 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/images/hero/desktop-mockup.svg","2025-10-20 11:48:12"
"https://www.aiseoturbo.com/features/competitor-analysis","text/html; charset=utf-8","200","OK","Indexable","","Competitor Analysis - SEO Intelligence | AI SEO Turbo","53","468","Analyze competitor SEO strategies, keyword rankings, and backlink profiles. Discover opportunities to outrank competitors and gain market share.","144","922","competitor analysis, SEO intelligence, keyword tracking, competitive research","77","Outsmart Your Competition with Data","35","Live SERP Rankings","18","Competitive Gap Analysis","24","index,follow","","","","https://www.aiseoturbo.com/features/competitor-analysis","","","","","","145209","20697","20697","8.065","","1092","484","2.256","51.072","Fairly Hard","7.559","1","1","","60","58","0","98.310","18","16","0","3","3","0","","","","","c454aa949575014dc32f869826611aed","0.512","","","","","en","1.1","","","","","","https://www.aiseoturbo.com/features/competitor-analysis","2025-10-20 11:48:11"
"https://www.aiseoturbo.com/_next/static/chunks/vendors-de5b9962-243c610393356671.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.757","Mon, 20 Oct 2025 07:27:44 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/vendors-de5b9962-243c610393356671.js","2025-10-20 11:48:11"
"https://www.aiseoturbo.com/_next/static/chunks/vendors-052090f1-1c2631fe61fc6f18.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.160","Mon, 20 Oct 2025 09:25:10 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/vendors-052090f1-1c2631fe61fc6f18.js","2025-10-20 11:48:12"
"https://www.aiseoturbo.com/_next/static/chunks/vendors-dad93b41-ba41838bc78c42d2.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.170","Mon, 20 Oct 2025 07:27:44 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/vendors-dad93b41-ba41838bc78c42d2.js","2025-10-20 11:48:12"
"https://www.aiseoturbo.com/_next/static/chunks/vendors-ddf20cba-93cc66b13fe5892a.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.167","Mon, 20 Oct 2025 07:27:44 GMT","","","","","1.1","","","","","","https://www.aiseoturbo.com/_next/static/chunks/vendors-ddf20cba-93cc66b13fe5892a.js","2025-10-20 11:48:12"
